loss,prediction,target,cell_line_id,cancer_type,drug_id
2.8815386,-0.74449545,0.953014,ACH-000617,OV,24785538
0.6627474,2.450731,1.636638,ACH-000853,,11609586
2.1846542,3.3187716,1.840714,ACH-000572,SKCM,46224516
2.9299126,1.3228793,3.034578,ACH-000505,SARC,24978538
1.7235901,4.4404435,5.753299,ACH-000504,GBM,11433190
0.70769423,-2.8350134,-3.676259,ACH-000038,CLL,6445533
1.6119503,2.806544,1.536918,ACH-000932,STAD,176870
0.113362774,1.4352181,1.771912,ACH-000911,STAD,11713159
0.6908748,2.6845849,1.853396,ACH-000616,STAD,10127622
0.08105309,3.1688783,2.88418,ACH-000243,PAAD,6852167
0.17063625,3.4626546,3.875736,ACH-000958,COAD-READ,11282283
0.17061912,2.5519047,2.138844,ACH-000660,DLBC,9967941
0.08277167,-1.8826487,-1.594948,ACH-000969,COAD-READ,6450816
1.2950907,3.0378435,1.899823,ACH-000483,LIHC,44450571
1.0965873,0.057050616,-0.99013,ACH-000065,LAML,25257557
0.013629227,3.3201337,3.436878,ACH-000327,LUAD,11485656
7.394516,-2.9819849,-0.262699,ACH-000932,STAD,9826308
0.042725418,3.4873984,3.280697,ACH-000196,BRCA,160355
2.512393,6.408979,4.823926,ACH-000890,SCLC,560326
1.2366614,1.7675078,0.655455,ACH-000665,LUSC,10200390
1.5213906,2.4365094,3.669956,ACH-000945,LUAD,6450551
1.2633585,-1.9172738,-3.041266,ACH-000347,PAAD,25167777
1.7769829,-3.503474,-4.836509,ACH-000091,OV,11178236
0.08941713,5.150721,5.449748,ACH-000886,LUAD,66577006
0.020770088,3.5879326,3.732051,ACH-000880,STAD,11282283
0.05513635,4.71581,4.950621,ACH-000706,LUAD,9931953
0.54045373,2.9130585,3.648214,ACH-000751,LAML,82146
0.0018267982,3.259655,3.302396,ACH-000968,SKCM,6852167
0.011482365,4.9779096,4.870754,ACH-000965,UCEC,46883536
0.21800707,5.3785534,4.911641,ACH-000047,STAD,66577006
0.11188075,0.4201008,0.085615,ACH-000536,BRCA,25262965
0.00037313387,3.1407974,3.160114,ACH-000260,NB,11609586
0.008408904,4.3732653,4.281565,ACH-000018,BLCA,16725726
1.0240952,1.3809359,0.36896,ACH-000488,ESCA,11713159
0.17967798,5.2147117,5.638596,ACH-000555,KIRC,2375
